scholar_indx,name,grade,parents,spouse,siblings,children,birth_date_place,places_of_stay,death_date_place,teachers,students,area_of_interest,tags,books,students_inds,teachers_inds,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason
25070,al-Hakam bin Bashyr الحكم بن بشير بن سلمان,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,"al-Kufa, Nisapur",()[ Natural ],"أبيه أبي إسماعيل, Khlad bin 'Isa [25085] , 'Amr bin Qays al-Mala'i [10803] , Musa bin Abi Aa'isha [11399] , Others","ابنه عبد الرحمن, Bashr bin al-Hakam bin Habib [30316] , Muhammad bin 'Amr bin Bakr al-Razi [30563] , 'Amr bin Rafa'i al-Qazwayni [38426] , al-Qasim bin Salam [36618] , Muhammad bin Hmyd bin Hyan [38495]",Narrator[Grade:Sadooq] [ ت  ق  -  صدوق ],"al-Kufa [al-Kufa] , Nisapur [Nisapur]",NA,"30316, 30563, 38426, 36618, 38495","25085, 10803, 11399",NA,NA,NA,NA,NA,NA,,Natural
25071,al-Hakam bin 'Abdur Rahman bin Abi Na'm الحكم بن عبد الرحمن بن أبي نعم,Succ. (Taba' Tabi') [7th generation],'Abdur Rahman bin Abi Na'm [11366],NA,NA,NA,NA,al-Kufa,()[ Natural ],'Abdur Rahman bin Abi Na'm [11366],NA,Narrator[Grade:Sadooq] [ س  -  صدوق ],"al-Bajli [al-Bajli] , al-Kufi [al-Kufi]",NA,NA,11366,NA,NA,NA,NA,NA,NA,,Natural
25072,al-Hakam bin Hisham الحكم بن هشام,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,"al-Kufa, Damascus",()[ Natural ],"Hmad bin Abi Sulaiman [10756] , Hisham bin 'Urwa [11065] , Yahya bin Sa'id al-Ansari [11062] , Yonus bin 'Ubaid bin Dinar [11075] , Qatada [11019] , 'Abdul Malik bin 'Umayr al-Qabti [11368] , Abu Ishaq al-Sabay'ai' [11049] , Yahya bin Sa'id bin Aban bin Sa'id [20367] , Others","al-Walid bin Muslim al-Quraishi [20733] , 'Abdul A'ala bin Mushir al-Ghasani [30284] , Mua'wiya bin Hafs al-Sh'by [35150] , 'Abdullah bin Mubarak [20025] , 'Abdullah bin Yusuf al-Tunaysi [30355] , Hisham bin 'Ammar bin Nasayr [30288]",Narrator[Grade:Sadooq] [ س  ق  -  صدوق ],"al-Thaqifi [al-Thaqifi] , Client [Client] , al-Kufi [al-Kufi] , Damascus [Damascus]",NA,"20733, 30284, 35150, 20025, 30355, 30288","10756, 11065, 11062, 11075, 11019, 11368, 11049, 20367",NA,NA,NA,NA,NA,NA,,Natural
25075,Hamza bin al-Mughira bin Nashayt حمزة بن المغيرة بن نشيط,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"'Asim al-Ahwal [11080] , 'Umar bin Dhar bin 'Abdullah al-Hamdani [11642] , Musa bin 'Uqba [11106] , Suhayl bin Abi Salah [11173] , 'Abdullah bin Habib [10781] , Others",NA,Narrator[Grade:Sadooq] [ تمييز  -  لا بأس به ],"B.Makhzum [B.Makhzum] , al-Kufi [al-Kufi]",NA,NA,"11080, 11642, 11106, 11173, 10781",NA,NA,NA,NA,NA,NA,,Natural
25077,Hnyf Balnwn Msghr حنيف بالنون مصغر,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],Abu al-Rqad [15672],Jarir bin 'Abdul Hameed al-Razi [20028],Narrator[Grade:Unknown-Majhool] [ عس  -  مجهول ],al-Kufa [al-Kufa],NA,20028,15672,NA,NA,NA,NA,NA,NA,,Natural
25078,Khalid bin 'Abdur Rahman خالد بن عبد الرحمن أبو الهيثم العطار,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],Smak bin Hrb bin Aws [10770],Ishaq bin al-Frat bin al-J'd [26001],Narrator[Grade:Unknown-Majhool] [ تمييز  -  مجهول ],"al-'Abdi [al-'Abdi] , al-Kufi [al-Kufi]",NA,26001,10770,NA,NA,NA,NA,NA,NA,,Natural
25079,Khalid bin 'Amr bin Muhammad خالد بن عمرو بن محمد,Succ. (Taba' Tabi') [9th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Yonus bin Abi Ishaq [10846] , Sufyan bin Saâid Ath-Thawri [20012] , Malik bin Mghwl [20358] , Shu'bah bin al-Hajjaj [20020] , سفيان, al-Laith bin Sa'd [20023] , Hisham bin Abi 'Abdullah al-Dastawa'i [20295] , Others","Ibrahim bin Musa al-Razi al-Fara' [30309] , al-Hasan bin 'Ali al-Halwani [30115] , Shahab bin 'Aabad al-'Abdi [30196] , Yusuf bin 'Ady [30223] , Mnjab bin al-Harith [30479] , سليمان بن داود بن ثابت الواسطي, أبو نعيم الحلبي, Abu Karayb, Muhammad bin al-'Ala' [30216] , Ahmed bin Mansur al-Ramadi [36514]",Narrator[Grade:Liar] [ د  ق  -  كذب ],"B.Umayya [B.Umayya] , al-Kufa [al-Kufa]",NA,"30309, 30115, 30196, 30223, 30479, 30216, 36514","10846, 20012, 20358, 20020, 20023, 20295",NA,NA,NA,NA,NA,NA,,Natural
25080,Khalid bin Yazid bin 'Umar خالد بن يزيد بن عمر,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Ata'a bin al-Sa'ib al-Thaqifi [11068] , 'Ubaidullah bin al-Walid [15348]",NA,Narrator[Grade:Not Thiqah] [ ق  -  مجهول الحال ],"al-Fazari [al-Fazari] , al-Kufa [al-Kufa]",NA,NA,"11068, 15348",NA,NA,NA,NA,NA,NA,,Natural
25081,Khubayb bin Sliaman خبيب بن سليمان بن سمرة,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],NA,NA,Narrator[Grade:Unknown-Majhool] [ د  -  مجهول ],al-Kufa [al-Kufa],NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural
25082,Khlf bin Tmym bin Aby خلف بن تميم بن أبي,Succ. (Taba' Tabi') [9th generation],NA,NA,NA,NA,NA,"al-Kufa, al-Musaysa",206 AH ()[ Natural ],"Isra'il bin Yonus bin Abi Ishaq [20311] , بشر بن أبي إسماعيل, Za'ida bin Qadama al-Thaqifi [20320] , Sufyan bin Saâid Ath-Thawri [20012] , زهير, Abu al-Ahwus, Salam bin Sulaym al-Hanafi [20327] , 'Abdullah bin al-Sry [28288] , Others","al-Husain bin Abi Sari [38177] , 'Ali bin Muhammad b. 'Ali b. Abi al-Mada [38410] , 'Amr bin Muhammad bin Bukayr (al-Naqid) [30263] , Ibrahim bin Sa'id al-Juhari [30498] , Muhammad bin 'Abdul Rahim bin Abi Zuhayr [30272] , Ibn Sa'd [30008] , 'Abbas bin Muhammad bin Hatm [30585] , 'Abbas bin 'Abdullah al-Tarfaqi [36580] , Muhammad bin al-Frj bin Mhmwd [36654]",Narrator[Grade:Sadooq] [ س  ق  -  صدوق ],"al-Kufa [al-Kufa] , al-Musaysa [al-Musaysa]",NA,"38177, 38410, 30263, 30498, 30272, 30008, 30585, 36580, 36654","20311, 20320, 20012, 20327, 28288",NA,NA,NA,NA,206,NA,,Natural
25084,Khlyfh bin Musa bin Rashid خليفة بن موسى بن راشد,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"الشرقي بن قطامي, Ma'ql bin 'Ubaidullah [20677] , محمد بن ثابت","Muhammad bin 'Aabad bin Musa [30377] , Yazid bin Harun [20472]",Narrator[Grade:Not Thiqah] [ مق  -  مستور ],al-Kufa [al-Kufa],NA,"30377, 20472",20677,NA,NA,NA,NA,NA,NA,,Natural
25085,Khlad bin 'Isa خلاد بن عيسى,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Thabit bin Aslam Albanani [11269] , Smak bin Hrb bin Aws [10770] , Isma'il bin 'Abdur Rahman al-Saddi [10743] , 'Amr bin Qays al-Mala'i [10803] , al-Hakam bin 'Abdullah [18206] , Others","al-Hakam bin Bashyr [25070] , Waki' bin al-Jarrah [20032] , 'Amr bin Muhammad al-Anqazi [20597]",Narrator[Grade:Sadooq] [ ت  ق  -  لا بأس به ],al-Kufa [al-Kufa],NA,"25070, 20032, 20597","11269, 10770, 10743, 10803, 18206",NA,NA,NA,NA,NA,NA,,Natural
25086,Da'ud bin Nsyr داود بن نصير,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,165 AH ()[ Natural ],"'Abdul Malik bin 'Umayr al-Qabti [11368] , Isma'il bin Abi Khalid al-Ahmsi [11418] , Hameed bin Abi Hameed [11279] , Sa'd bin Sa'id bin Qays bin 'Amr [11853] , Muhammad bin 'Abdur Rahman bin Abi Layla [20727] , Sulaiman al-A'mash [11060] , Others","'Abdullah bin Idris bin Yazid al-Audi [20102] , Sufyan bin 'Uyaynah [20005] , Isma'il bin Ibrahim - Ibn 'Aliya [20208] , Mus'ab bin al-Mqdam al-Khth'my [20608] , Ishaq bin Mnswr al-Slwly [20410] , Waki' bin al-Jarrah [20032] , al-Fadl bin Dakayn, Abu Na'eem [20348]",Narrator[Grade:Thiqah] [ س  -  ثقة ],"al-Tai'i [al-Tai'i] , al-Kufa [al-Kufa]",NA,"20102, 20005, 20208, 20608, 20410, 20032, 20348","11368, 11418, 11279, 11853, 20727, 11060",NA,NA,NA,NA,165,NA,,Natural
25087,Dhwad bin 'Alba ذواد [ ذؤاد ] ظابن علبة,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"al-Lyth bin Abi Sulaym [10957] , Ibn Jurayj [11070] , Isma'il bin Umayya bin 'Amr [11417] , Matruf bin Tarayf al-Harithi [11395]","ابنه مزاحم, al-Sry bin Mskyn al-Madni [22063] , al-'Aswad bin 'Amir Shadhan [20380] , Zayd bin al-Habab al-'Akli [20650] , Sa'id bin Mnswr bin Sh'bh [30116] , جبارة بن مغلس",Narrator[Grade:Weak] [ ت  ق  -  ضعيف ],"B.Haritha [B.Haritha] , Kufi [Kufi]",NA,"22063, 20380, 20650, 30116","10957, 11070, 11417, 11395",NA,NA,NA,NA,NA,NA,,Natural
25088,al-Rabi' bin Habib al-Malah al-'Absi الربيع بن حبيب الملاح العبسي,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Nawful bin 'Abdul Malik [19096] , Yahya bin Qays al-Saba'i [15626]","Waki' bin al-Jarrah [20032] , 'Ubaidullah bin Musa bin Abi al-Mukhtar [20340]",Narrator[Grade:Sadooq] [ ق  -  صدوق ],"al-'Absi [al-'Absi] , Client [Client] , al-Kufi [al-Kufi]",NA,"20032, 20340","19096, 15626",NA,NA,NA,NA,NA,NA,,Natural
25089,Rzam bin Sa'id al-Dby al-Kwfy رزام بن سعيد,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Father, Jwab bin 'Ubaidullah al-Tymy [15067] , Others","al-Qasim bin Malik al-Mzny [20350] , Muhammad bin 'Abdullah bin al-Zubair [20355] , Waki' bin al-Jarrah [20032] , al-Fadl bin Dakayn, Abu Na'eem [20348]",Narrator[Grade:Thiqah] [ عس  -  ثقة ],al-Kufa [al-Kufa],NA,"20350, 20355, 20032, 20348",15067,NA,NA,NA,NA,NA,NA,,Natural
25090,Rzyn bin Habib al-Jhny رزين بن حبيب,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,"al-Kufa, al-Ray",()[ Natural ],"Asbgh bin Nbat'h al-Tmymy [15020] , 'Amir al-Sha'bi [11052] , Muhammad bin 'Ali b. al-Hussain al-Baqir [11442] , Slma al-Bakryh [19486] , Others","Sufyan bin Saâid Ath-Thawri [20012] , 'Abdullah bin Mubarak [20025] , Waki' bin al-Jarrah [20032] , 'Isa bin Yonus bin Abi Ishaq [20347] , 'Ubaidullah bin Musa bin Abi al-Mukhtar [20340] , al-Fadl bin Dakayn, Abu Na'eem [20348]",Narrator[Grade:Thiqah] [ ت  -  ثقة ],"al-Juhni [al-Juhni] , al-Bakri [al-Bakri] , al-Juhni [al-Juhni] , al-Kufa [al-Kufa] , al-Ra' [al-Ra']",NA,"20012, 20025, 20032, 20347, 20340, 20348","15020, 11052, 11442, 19486",NA,NA,NA,NA,NA,NA,,Natural
25091,Rfa'h bin Iyas bin Ndhyr رفاعة بن إياس بن نذير,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,after  170 AH ()[ Natural ],"'Ammara bin al-Q'aqa' bin Shabrma [11379] , al-Harith bin Yazid al-'Akli [11622]","al-Husain bin al-Hasan al-Ashqar [35030] , Yahya bin Sulaiman bin Yahya [30220] , أحمد بن معمر بن أشكاب, عبد الملك بن المختار الثقفي",Narrator[Grade:Thiqah] [ عس  -  ثقة ],al-Kufa [al-Kufa],NA,"35030, 30220","11379, 11622",NA,NA,NA,NA,170,NA,,Natural
25094,Ziyad bin al-Hasan bin al-Farat al-Qazaz زياد بن الحسن بن الفرات القزاز,Succ. (Taba' Tabi') [9th generation],al-Hasan bin al-Farat al-Qazaz [20582],NA,Yahya,NA,NA,al-Kufa,()[ Natural ],"Farat bin Abi 'Abdur Rahman [11384] , al-Hasan bin al-Farat al-Qazaz [20582] , Aban bin Tghlb [20577] , Mas'ar bin Kadam [20359]","Yahya, 'Abdullah bin Sa'id al-Ashaj [30200] , Muhammad bin 'Abdullah bin Numayr [30212]",Narrator[Grade:Sadooq/Delusion] [ ت  -  صدوق يخطئ ],"al-Tamimi [al-Tamimi] , al-Kufi [al-Kufi]",NA,"30200, 30212","11384, 20582, 20577, 20359",NA,NA,NA,NA,NA,NA,,Natural
25097,Ziyad bin al-Mndhr زياد بن المنذر,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,after  100 AH ()[ Natural ],NA,NA,Narrator[Grade:Liar] [ ت  -  كذب ],al-Kufa [al-Kufa],NA,NA,NA,NA,NA,NA,NA,100,NA,,Natural
25098,Zayd bin Hban زيد بن حبان,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,"al-Raqqa, Kufa",158 AH ()[ Natural ],"Ibn Jurayj [11070] , Ayoub al-Sakhtiyani [11015] , Ata'a bin al-Sa'ib al-Thaqifi [11068] , al-Zuhri [11013] , Abu Ishaq al-Sabay'ai' [11049] , Muhammad bin al-Munkdar bin 'Abdullah [11048] , Others","Ma'mar bin Suliaman [28578] , موسى بن عين, Muhammad bin 'Abdullah bin al-Zubair [20355] , Mskyn bin Bkyr al-Hrany [20463] , 'Ali bin Thabit al-Jzry [28408] , فياض بن محمد الرقي, al-Fadl bin Dakayn, Abu Na'eem [20348]",Narrator[Grade:Sadooq] [ س  ق  -  صدوق ],"Client [Client] , al-Raqqi [al-Raqqi] , Kufi [Kufi]",NA,"28578, 20355, 20463, 28408, 20348","11070, 11015, 11068, 11013, 11049, 11048",NA,NA,NA,NA,158,NA,,Natural
25099,Zayd bin al-Hasan al-Quraishi زيد بن الحسن القرشي,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Ja'far bin Muhammad bin 'Ali [10898] , Ma'ruf bin Kharbudh [11564] , 'Ali bin al-Mubark al-Hna'iy [20449]","Ishaq bin Rahwaya [30021] , Sa'id bin Sulaiman al-Dabi [30252] , 'Ali bin al-Madini [30026] , Nsr bin 'Abdur Rahman [35157] , نصر بن مزاحم",Narrator[Grade:Weak] [ ت  -  ضعيف ],"Quraish [Quraish] , al-Kufa [al-Kufa]",NA,"30021, 30252, 30026, 35157","10898, 11564, 20449",NA,NA,NA,NA,NA,NA,,Natural
25100,Zayd bin Ata'a bin al-Sa'ib زيد بن عطاء بن السائب,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Ziyad bin 'Alaqa [11339] , Muhammad bin al-Munkdar bin 'Abdullah [11048] , Ja'far bin Muhammad bin 'Ali [10898] , 'Amr bin Yahya bin 'Ammara [11210]","Isra'il bin Yonus bin Abi Ishaq [20311] , Jarir bin 'Abdul Hameed al-Razi [20028] , حصين بن مخارق, عبد الغفار بن القاسم",Narrator[Grade:Maqbool] [ ت  س  -  مقبول ],"al-Thaqifi [al-Thaqifi] , al-Kufa [al-Kufa]",NA,"20311, 20028","11339, 11048, 10898, 11210",NA,NA,NA,NA,NA,NA,,Natural
25101,S'aad bin Suliaman al-J'afi سعاد بن سليمان,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,Kufa,()[ Natural ],"Abu Ishaq al-Sabay'ai' [11049] , Awn bin Abi Juhayfa [11383] , Ziyad bin 'Alaqa [11339] , Jabir bin Yazid bin al-Harith [15060] , Others","'Ali bin Thabit al-Jzry [28408] , Sahl bin Hamad [20548] , al-Hasan bin Atyh bin Njyh [25052] , Jabbarh bin al-Mghls al-Hmany Abu [35021]",Narrator[Grade:Sadooq/Delusion] [ ق  -  صدوق يخطئ ],"al-Ja'fi [al-Ja'fi] , Kufi [Kufi]",NA,"28408, 20548, 25052, 35021","11049, 11383, 11339, 15060",NA,NA,NA,NA,NA,NA,,Natural
25104,Sa'id bin Khthym سعيد بن خثيم,Succ. (Taba' Tabi') [9th generation],NA,NA,NA,NA,NA,"al-Ray, al-Kufa",180 AH ()[ Natural ],"أخيه معمر, Ayman bin Nabil [11555] , جدته أم خثيم ربعية بنت عياض, Hanzala bin Abi Sufyan bin 'Abdur Rahman [11243] , Zayd bin 'Ali bin al-Husain [12114] , 'Abdullah bin Shabarma [10783] , Muhammad bin Khalid al-Dby [15482] , Others","Ahmad bin Hanbal [30007] , Ishaq bin Musa bin 'Abdullah bin Musa [30410] , Abu Bakr bin Abi Shayba [30201] , Isma'il bin Musa al-Fazari al-Siddi [35016] , Muhammad bin 'Ubaid bin Muhammad [35135] , 'Amr bin Muhammad bin Bukayr (al-Naqid) [30263] , 'Abdullah bin Sa'id al-Ashaj [30200] , Ahmed bin Rashid bin Khthym [31220]",Narrator[Grade:Sadooq] [ ت  س  -  صدوق ],"al-Hilali [al-Hilali] , al-Ra' [al-Ra'] , al-Kufa [al-Kufa]",NA,"30007, 30410, 30201, 35016, 35135, 30263, 30200, 31220","11555, 11243, 12114, 10783, 15482",NA,NA,NA,NA,180,NA,,Natural
25105,Sa'id bin 'Abdul Jabbar bin Wa'il سعيد بن عبد الجبار بن وائل,Succ. (Taba' Tabi') [7th generation],Abd al-Jabbar bin Wa'il [10940],NA,Hujar,NA,NA,al-Kufa,158 AH ()[ Natural ],"Abd al-Jabbar bin Wa'il [10940] , 'Alqama bin Wa'il bin Hjr [10801]",NA,Narrator[Grade:Weak] [ تمييز  -  ضعيف ],"al-Hadrami [al-Hadrami] , al-Kufa [al-Kufa]",NA,NA,"10940, 10801",NA,NA,NA,NA,158,NA,,Natural
25106,Sa'id bin Kathir bin 'Ubaid سعيد بن كثير بن عبيد,Succ. (Taba' Tabi') [7th generation],Kathir bin 'Ubaid al-Taymi [15476],NA,NA,'Unbasa bin Sa'id bin Kathir [28458],NA,al-Kufa,()[ Natural ],Kathir bin 'Ubaid al-Taymi [15476],NA,Narrator[Grade:Thiqah] [ بخ  -  ثقة ],"Client [Client] , Ally B.Taym [Ally%20B.Taym] , al-Malai'i [al-Malai'i] , al-Kufi [al-Kufi]",NA,NA,15476,NA,NA,NA,NA,NA,NA,,Natural
25107,Sa'id bin Muhammad al-Wraq سعيد بن محمد الوراق الثقفي,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,"al-Kufa, Baghdad",()[ Natural ],NA,NA,Narrator[Grade:Weak] [ ت  ق  -  ضعيف ],"al-Thaqifi [al-Thaqifi] , al-Kufa [al-Kufa] , Baghdad [Baghdad]",NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural
25108,Sa'id bin al-Nadr bin Shbrmh سعيد بن النضر بن شبرمة,Succ. (Taba' Tabi') [9th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],Isma'il bin Abi Khalid al-Ahmsi [11418],ابنه أبو صهيب النضر بن سعيد بن النضر,Narrator[Grade:Maqbool] [ تمييز  -  مقبول ],"B.Haritha [B.Haritha] , al-Kufa [al-Kufa]",NA,NA,11418,NA,NA,NA,NA,NA,NA,,Natural
25110,Sa'id bin Yazid al-Bajli سعيد بن يزيد البجلي,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],'Amir al-Sha'bi [11052],"Bakr bin Bkar al-Qaysy Knyt'h [31249] , Waki' bin al-Jarrah [20032] , al-Fadl bin Dakayn, Abu Na'eem [20348]",Narrator[Grade:Sadooq] [ س  -  صدوق ],"al-Bajli [al-Bajli] , al-Ahamsi [al-Ahamsi] , al-Ahmsi [al-Ahmsi] , al-Kufa [al-Kufa]",NA,"31249, 20032, 20348",11052,NA,NA,NA,NA,NA,NA,,Natural
25114,Sulaiman bin Musa al-Zhry سليمان بن موسى الزهري,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,"al-Kufa, Kufa, Damascus",()[ Natural ],"Ja'far bin Sa'd bin Smrh [18127] , Dlhm bin Salah al-Kndy [15130] , Isma'il bin 'Abdul Malik [18044] , Yusuf bin S'hyb al-Kndy [15649] , Several Others","Yahya bin Hsan [20300] , al-Walid bin Muslim al-Quraishi [20733] , Hisham bin 'Ammar bin Nasayr [30288]",Narrator[Grade:Maqbool] [ د  -  لين الحديث ],"B.Zuhrah [B.Zuhrah] , al-Kufa [al-Kufa] , Kufa [Kufa] , Damascus [Damascus]",NA,"20300, 20733, 30288","18127, 15130, 18044, 15649",NA,NA,NA,NA,NA,NA,,Natural
25115,Snan bin Harun al-Brjmy سنان بن هارون البرجمي,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Klyb bin Wa'il [11534] , Yazid bin Ziyad bin Aby [25362] , Byan bin Bashr al-Ahmsi [11326] , Others","al-'Aswad bin 'Amir Shadhan [20380] , Waki' bin al-Jarrah [20032] , زكرياء بن يحيى بن حمويه, Muhammad bin al-Sabah [30269]",Narrator[Grade:Sadooq] [ ت  -  صدوق ],al-Kufa [al-Kufa],NA,"20380, 20032, 30269","11534, 25362, 11326",NA,NA,NA,NA,NA,NA,,Natural
25118,Syf bin 'Umayrh al-Kwfy سيف بن عميرة الكوفي النخعي,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],NA,NA,Narrator[Grade:Sadooq/Delusion] [ تمييز  -  صدوق له أوهام ],"al-Nakha'i [al-Nakha'i] , al-Kufa [al-Kufa]",NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural
25119,Syf bin Muhammad سيف بن محمد,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,"al-Kufa, Baghdad",~  190 AH ()[ Natural ],"خاله, Sulaiman al-A'mash [11060] , Mansur bin al-Ma'tamar al-Salmi [11067] , Hisham bin 'Urwa [11065] , Yahya bin Sa'id al-Ansari [11062] , 'Asim al-Ahwal [11080] , Several Others","Isma'il bin Ibrahim al-Tarjumani [36527] , Muhammad bin al-Sbah bin Sufyan [38516] , Muhammad bin al-Sabah [30269] , Mahmud bin Khadash [36669] , al-Hasan bin Arfh bin Yazid [36540] , الحسين بن الحسن المروزي",Narrator[Grade:Liar] [ ت  -  كذب ],"al-Kufa [al-Kufa] , Baghdad [Baghdad]",NA,"36527, 38516, 30269, 36669, 36540","11060, 11067, 11065, 11062, 11080",NA,NA,NA,NA,190,NA,,Natural
25120,Sayf bin Harun al-Barjami سيف بن هارون البرجمي,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Isma'il bin Abi Khalid al-Ahmsi [11418] , Sulaiman bin Tarkhan al-Taymi [11289] , Ibrahim bin Muslim al-'Abdi [18010] , Bahz bin Hakim bin Mu'awiya al-Qushayri [19901] , Several Others","al-Fadl bin Dakayn, Abu Na'eem [20348] , Malik bin Isma'il, Abu Ghasan al-Nahdi [20357] , Sulaiman bin Da'ud al-'Atki al-Zahrani [30137] , Isma'il bin Musa al-Fazari al-Siddi [35016]",Narrator[Grade:Weak] [ ت  ق  -  ضعيف ],al-Kufi [al-Kufi],NA,"20348, 20357, 30137, 35016","11418, 11289, 18010, 19901",NA,NA,NA,NA,NA,NA,,Natural
25124,Shhab bin Khrash bin Hwshb شهاب بن خراش بن حوشب,Succ. (Taba' Tabi') [7th generation],NA,NA,NA,NA,NA,"al-Wasit, Kufa",()[ Natural ],"Father, شعيب بن زريق الطائي, al-Qasim bin Ghzwan [28486] , Qatada [11019] , 'Asim bin Abu al-Najud (Bahdla) [11358] , 'Abdul Malik bin 'Umayr al-Qabti [11368] , Shbyl bin Azrh bin 'Umayr [14177] , Muhammad bin Ziyad [11216] , Sulaiman bin Abi Sulaiman [11352] , Others","'Abdur Rahman bin Mahdi [20033] , Aadm bin Abi Iyas [20404] , Asad bin Musa - Asad al-Sunnah [28040] , Muhammad bin Abi Fadayk [20172] , al-Hythm bin Kharjh [30281] , 'Amr bin Khalid al-Hirani [30237] , Sa'id bin Mnswr bin Sh'bh [30116] , 'Uthman bin Sa'id bin Kathir bin Dinar [28388] , Qutayba bin Sa'id bin Jamil [30367] , هشام بن عمارة",Narrator[Grade:Sadooq/Delusion] [ د  -  صدوق يخطئ ],"al-Wasti [al-Wasti] , Kufa [Kufa]",NA,"20033, 20404, 28040, 20172, 30281, 30237, 30116, 28388, 30367","28486, 11019, 11358, 11368, 14177, 11216, 11352",NA,NA,NA,NA,NA,NA,,Natural
25125,Salah bin Musa bin Ishaq صالح بن موسى بن إسحاق بن طلحة,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,al-Kufa,()[ Natural ],"Father, Mua'wiya bin Ishaq bin Talha [11723] , الصلت بن دينار أبي شعيب المجنون, Sharayk bin 'Abdullah bin Abi Namr [11858] , Sulaiman al-A'mash [11060] , Mansur bin al-Ma'tamar al-Salmi [11067] , Hisham bin 'Urwa [11065] , Others","Zayd bin al-Habab al-'Akli [20650] , al-Rabi' bin Nafi' Abu Tawba al-Halbi [30335] , Sa'id bin Mnswr bin Sh'bh [30116] , Qutayba bin Sa'id bin Jamil [30367] , Swyd bin Sa'id [30547]",Narrator[Grade:Abandoned] [ ت  ق  -  متروك ],"B.Taym [B.Taym] , al-Kufa [al-Kufa]",NA,"20650, 30335, 30116, 30367, 30547","11723, 11858, 11060, 11067, 11065",NA,NA,NA,NA,NA,NA,,Natural
25126,al-Sabah bin Maharab الصباح بن محارب,Succ. (Taba' Tabi') [8th generation],NA,NA,NA,NA,NA,"al-Kufa, Ray'",()[ Natural ],"Ziyad bin 'Alaqa [11339] , Hajjaj bin Artah [20580] , Isma'il bin Abi Khalid al-Ahmsi [11418] , Muhammad bin Suqah [11387] , Hisham bin 'Urwa [11065] , Abu Hanifa [11001] , Others","Abd al-Salam bin 'Asim [38342] , Sahl bin Znjlh [38259] , Muhammad bin Hmyd bin Hyan [38495] , أبو صالح شعيب بن سهل, نوح بن أنس, إسحاق بن بشر البزار",Narrator[Grade:Sadooq] [ ق  -  صدوق ],"B.Taym [B.Taym] , al-Kufa [al-Kufa] , al-Ray' [al-Ray']",NA,"38342, 38259, 38495","11339, 20580, 11418, 11387, 11065, 11001",NA,NA,NA,NA,NA,NA,,Natural
